RUN	perf.TestSimulation	testsimulation	1677066707717	 	3.0.3
REQUEST	11	choice	/cgi-bin/reservations.pl?page=welcome	1677066745726	1677066745889	OK	 
REQUEST	11	choice	/cgi-bin/reservations.pl	1677066745891	1677066746055	OK	 
REQUEST	11	choice	/cgi-bin/reservations.pl	1677066746057	1677066746151	OK	 
REQUEST	11	choice	/cgi-bin/reservations.pl	1677066746153	1677066746300	OK	 
GROUP	11	choice	1677066745725	1677066746300	568	OK
REQUEST	11	basket	/cgi-bin/welcome.pl?page=itinerary	1677066746301	1677066746401	OK	 
REQUEST	11	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066746402	1677066746482	OK	 
REQUEST	11	basket	/cgi-bin/itinerary.pl	1677066746484	1677066747213	OK	 
GROUP	11	basket	1677066746300	1677066747213	909	OK
REQUEST	11	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066747214	1677066747305	OK	 
REQUEST	11	singOff	/cgi-bin/nav.pl?in=home	1677066747306	1677066747389	OK	 
GROUP	11	singOff	1677066747213	1677066747390	174	OK
USER	mainScenario	11	END	1677066744868	1677066747390
USER	mainScenario	12	START	1677066747391	1677066747391
REQUEST	12	open	/webtours/	1677066747392	1677066747463	OK	 
REQUEST	12	open	/cgi-bin/welcome.pl	1677066747464	1677066747615	OK	 
REQUEST	12	open	/cgi-bin/nav.pl?in=home	1677066747616	1677066747707	OK	 
GROUP	12	open	1677066747391	1677066747709	313	OK
REQUEST	12	login	/cgi-bin/login.pl	1677066747709	1677066747807	OK	 
REQUEST	12	login	/cgi-bin/nav.pl?page=menu&in=home	1677066747808	1677066747895	OK	 
REQUEST	12	login	/cgi-bin/login.pl?intro=true	1677066747896	1677066748079	OK	 
REQUEST	12	login	/cgi-bin/welcome.pl?page=search	1677066748080	1677066748159	OK	 
REQUEST	12	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066748160	1677066748356	OK	 
GROUP	12	login	1677066747709	1677066748356	643	OK
REQUEST	12	choice	/cgi-bin/reservations.pl?page=welcome	1677066748357	1677066748526	OK	 
REQUEST	12	choice	/cgi-bin/reservations.pl	1677066748528	1677066748661	OK	 
REQUEST	12	choice	/cgi-bin/reservations.pl	1677066748663	1677066748855	OK	 
REQUEST	12	choice	/cgi-bin/reservations.pl	1677066748856	1677066748964	OK	 
GROUP	12	choice	1677066748356	1677066748965	602	OK
REQUEST	12	basket	/cgi-bin/welcome.pl?page=itinerary	1677066748966	1677066749098	OK	 
REQUEST	12	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066749099	1677066749197	OK	 
REQUEST	12	basket	/cgi-bin/itinerary.pl	1677066749198	1677066750172	OK	 
GROUP	12	basket	1677066748965	1677066750173	1204	OK
REQUEST	12	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066750174	1677066750247	OK	 
REQUEST	12	singOff	/cgi-bin/nav.pl?in=home	1677066750248	1677066750412	OK	 
GROUP	12	singOff	1677066750173	1677066750412	237	OK
USER	mainScenario	12	END	1677066747391	1677066750413
USER	mainScenario	13	START	1677066750413	1677066750413
REQUEST	13	open	/webtours/	1677066750414	1677066750502	OK	 
REQUEST	13	open	/cgi-bin/welcome.pl	1677066750503	1677066750659	OK	 
REQUEST	13	open	/cgi-bin/nav.pl?in=home	1677066750660	1677066750760	OK	 
GROUP	13	open	1677066750414	1677066750761	344	OK
REQUEST	13	login	/cgi-bin/login.pl	1677066750761	1677066750853	OK	 
REQUEST	13	login	/cgi-bin/nav.pl?page=menu&in=home	1677066750855	1677066750965	OK	 
REQUEST	13	login	/cgi-bin/login.pl?intro=true	1677066750966	1677066751073	OK	 
REQUEST	13	login	/cgi-bin/welcome.pl?page=search	1677066751074	1677066751218	OK	 
REQUEST	13	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066751219	1677066751321	OK	 
GROUP	13	login	1677066750761	1677066751321	555	OK
REQUEST	13	choice	/cgi-bin/reservations.pl?page=welcome	1677066751322	1677066751483	OK	 
REQUEST	13	choice	/cgi-bin/reservations.pl	1677066751485	1677066751585	OK	 
REQUEST	13	choice	/cgi-bin/reservations.pl	1677066751587	1677066751713	OK	 
REQUEST	13	choice	/cgi-bin/reservations.pl	1677066751715	1677066751891	OK	 
GROUP	13	choice	1677066751321	1677066751892	563	OK
REQUEST	13	basket	/cgi-bin/welcome.pl?page=itinerary	1677066751893	1677066751976	OK	 
REQUEST	13	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066751977	1677066752077	OK	 
REQUEST	13	basket	/cgi-bin/itinerary.pl	1677066752078	1677066753049	OK	 
GROUP	13	basket	1677066751892	1677066753049	1154	OK
REQUEST	13	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066753050	1677066753142	OK	 
REQUEST	13	singOff	/cgi-bin/nav.pl?in=home	1677066753143	1677066753250	OK	 
GROUP	13	singOff	1677066753049	1677066753251	199	OK
USER	mainScenario	13	END	1677066750413	1677066753251
USER	mainScenario	14	START	1677066753251	1677066753251
REQUEST	14	open	/webtours/	1677066753252	1677066753327	OK	 
REQUEST	14	open	/cgi-bin/welcome.pl	1677066753328	1677066753455	OK	 
REQUEST	14	open	/cgi-bin/nav.pl?in=home	1677066753456	1677066753541	OK	 
GROUP	14	open	1677066753252	1677066753542	287	OK
REQUEST	14	login	/cgi-bin/login.pl	1677066753543	1677066753665	OK	 
REQUEST	14	login	/cgi-bin/nav.pl?page=menu&in=home	1677066753667	1677066753789	OK	 
REQUEST	14	login	/cgi-bin/login.pl?intro=true	1677066753790	1677066753914	OK	 
REQUEST	14	login	/cgi-bin/welcome.pl?page=search	1677066753915	1677066754010	OK	 
REQUEST	14	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066754011	1677066754101	OK	 
GROUP	14	login	1677066753542	1677066754102	553	OK
REQUEST	14	choice	/cgi-bin/reservations.pl?page=welcome	1677066754102	1677066754214	OK	 
REQUEST	14	choice	/cgi-bin/reservations.pl	1677066754216	1677066754308	OK	 
REQUEST	14	choice	/cgi-bin/reservations.pl	1677066754310	1677066754413	OK	 
REQUEST	14	choice	/cgi-bin/reservations.pl	1677066754414	1677066754519	OK	 
GROUP	14	choice	1677066754102	1677066754519	412	OK
REQUEST	14	basket	/cgi-bin/welcome.pl?page=itinerary	1677066754520	1677066754611	OK	 
REQUEST	14	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066754612	1677066754719	OK	 
REQUEST	14	basket	/cgi-bin/itinerary.pl	1677066754720	1677066755432	OK	 
GROUP	14	basket	1677066754519	1677066755433	910	OK
REQUEST	14	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066755433	1677066755528	OK	 
REQUEST	14	singOff	/cgi-bin/nav.pl?in=home	1677066755529	1677066755675	OK	 
GROUP	14	singOff	1677066755433	1677066755675	241	OK
USER	mainScenario	14	END	1677066753251	1677066755676
USER	mainScenario	15	START	1677066755676	1677066755676
REQUEST	15	open	/webtours/	1677066755677	1677066755793	OK	 
REQUEST	15	open	/cgi-bin/welcome.pl	1677066755794	1677066755882	OK	 
REQUEST	15	open	/cgi-bin/nav.pl?in=home	1677066755884	1677066755983	OK	 
GROUP	15	open	1677066755677	1677066755984	303	OK
REQUEST	15	login	/cgi-bin/login.pl	1677066755985	1677066756098	OK	 
REQUEST	15	login	/cgi-bin/nav.pl?page=menu&in=home	1677066756100	1677066756193	OK	 
